Nome,Biografia breve,Status di partigiano,Biografia,
Castagnoli Tedaldo Fu Angelo,"Nato a Mortano il 1 agosto 1912, ivi residente, colono, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 19 luglio al 19 ottobre 1944.,"Da una dichiarazione del commissario politico della brigata Pietro Reali traiamo: ""durante il passaggio del fronte mentre serviva da guida a truppe alleate veniva colpito da raffica nemica e decedeva all'istante""",
Castellucci Celso Di Domenico,"Nato a Civitella il 28 maggio 1896, residente in frazione Cigno,coniugato e padre di sei figli",Riconosciuto partigiano dell'8° con ciclo operativo dal 1 gennaio al 21 agosto 1944,"Durante il Rastrellamento d'agosto, il giorno 20, venne catturato a Cigno di Civitella, fu tradotto e fucilato alla fornace di Meldola Meldola il 21 agosto 1944.",
Castellucci Domenico Di Gaspero,"Nato a Santa Sofia il 7 febbraio 1925, colono, terzo di quattro figli, celibe",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 7 gennaio al 16 aprile 1944.,"Partecipe della colonna partigiana che il mattino del 16 aprile, durante il Grande rastrellamento d'aprile, si portò sul crinale che conduce alle Fontanelle, divenne oggetto di un nutrito fuoco tedesco. Assieme a Franco Ferri si allontanò dal crinale con direzione Valbianca. Ferito, fu catturato dai tedeschi e il giorno dopo fucilato in località Valdonetto.",
Castellucci Giuseppe Fu Giuseppe,"Nato a Galeata il 19 ottobre 1916, ivi residente, colono.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 novembre 1943 al 1 novembre 1944,"Comandante del 2° distaccamento del 4° battaglione. Nell'ottobre 1944 in servizio di pattuglia avanzata con le truppe alleate, durante il combattimento con i tedeschi in località podere Casaccia (Monte delle Forche) cadeva prigioniero. Il 1 novembre 1944 fu fucilato a Villa Raggi di Predappio.",
Castellucci Secondo Di Francesco,"Nato a Teodorano di Meldola il 22 maggio 1923, ivi residente, bracciante, celibe",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 2 gennaio al 17 luglio 1944,"Partigiano di una squadra del 5° distaccamento, fu catturato nel corso del rastrellamento del luglio 1944. Sottoposto a violenti interrogatori perché rivelasse quanto sapeva, dopo una parvenza di processo, in casa del prete di Cigno, venne fucilato assieme a Silvano Rossi.",
"Cavalli Armando Di Francesco,","nato a Roma il 21 febbraio 1899, residente a Casalfiumanese di Imola, coniugato.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 21 febbraio al 17 aprile 1944.,"Nome di battaglia Gigi, partigiano della 5° compagnia, ferito e catturato nel corso del Grande rastrellamento d'aprile fu condotto con un camion a Santa Sofia e qui ucciso da un milite della gnr con un colpo di rivoltella. Il suo corpo non fu ritrovato.",
Cavallucci Germano Di Paolo,"Nato a Ravenna il 1925 residente a Civitella di Romagna, colono, secondo di quattro fratelli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 28 ottobre 1943 al 30 novembre 1944.,"Sin dall'ottobre 1943 fu attivo nel servizio logistico per rifornire le formazioni partigiane di uomini e materiali. Il 23 marzo 1944 fu arrestato perché renitente di leva e imprigionato nelle carceri di Forlì. Condannato alla fucilazione, in seguito alla protesta delle donne forlivesi seguita alla fucilazione di cinque giovani renitenti, la pena gli venne commutata in dieci anni di reclusione e fu inviato in Germania dove fu inquadrato nell'esercito della repubblica sociale. Il 28 dicembre 1944 partì dalla Germania e fu inviato sul fronte italiano a Gallicano in provincia di Lucca. Dopo otto giorni di permanenza in quella località: l'8 febbraio 1945 nel tentativo di raggiungere le truppe americane venne ucciso da un soldato tedesco.",
Ceccaroni Angelo Fu Luigi,Nato a Civitella il 5 agosto 1893.,Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 30 ottobre 1943 al 21 agosto 1944.,"Caduto nel corso del rastrellamento d'agosto. Dall'atto di notorietà sulle cause di morte redatto nel comune di Civitella il 27 aprile 1946 traiamo: ""in seguito a rastrellamento effettuato da tedeschi in frazione Civorio veniva prelevato dalla sua abitazione e tradotto in Meldola dove il giorno 21 agosto 1944 veniva fucilato dagli stessi""",
Ceccaroni Antonio Di Sante.,"Nato a Cesena il 14 agosto 1915, ivi residente in frazione Macerone, manovale, coniugato.",Riconosciuto partigiano della 29° brigata con ciclo operativo dal 30 marzo al 4 luglio 1944.,"Catturato a Poppi, nel corso di un rastrellamento, fu impiccato assieme a Lensi Leonello di a. 23, Niccolini Niccolino di a. 21 e Vannucci Elio di a. 22, il 4 luglio 1944 a Castel Focognano in provincia di Arezzo.",
Cecchini Antonio Di Eugenio,"Nato a Cesena il 31 maggio 1925, ivi residente in frazione Bulgaria, celibe.",Riconosciuto partigiano della 29° brigata con ciclo operativo dall'11 novembre 1943 al 3 settembre 1944.,"Appartenente al 2° distaccamento del battaglione gap di Cesena, fu ucciso il 26 luglio 1944 dai tedeschi.",
Cecchini Gino Fu Emilio Pietro,"Nato a Cesenatico il 10 novembre 1911, ivi residente, barbiere, celibe.",Riconosciuto partigiano della 29° brigata con ciclo operativo dal 1 gennaio al 4 settembre 1944.,"La sua bottega di barbiere e la sua abitazione erano punto d'incontro e base partigiana. Il 22 luglio fu tra gli organizzatori dell'affondamento di due barconi nel porto canale di Cesenatico. Per la delazione di un ex appartenente all'organizzazione, venne arrestato dai militi della brigata nera di Cesena, unitamente ai giovani Quadrelli e Sacchetti, accusati di detenzione di armi. Dopo violenze e torture, la mattina del 3 settembre fu prelevato dalla cella, legato con un robusto canapo ad altri sette e fucilato nello sferisterio della Rocca Malatestiana.",
Cecere Edoardo Fu Francesco,"Firenze, 20 dicembre 1892, residente a Forlì, colonnello, coniugato e padre di un figlio.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 marzo al 5 settembre 1944.,"In una ""dichiarazione"" del Comitato di liberazione nazionale di Forlì, del 26 settembre 1945, così viene illustrata la sua attività partigiana: ""nel novembre 1943 si occultò in montagna per non presentarsi all'esercito repubblicano dal quale era conosciuto e ricercato. In montagna svolse opera intelligente e fattiva in cooperazione con l'8° Brigata Garibaldi, Venuto in pianura a disposizione del C.L.N. clandestino per essere altrove impiegato, non potè svolgere altra opera, poiché lo sorprese la morte del figlio avvenuta il 19 maggio in seguito a bombardamento aereo. Rimase nascosto presso amici fidati fino al 9 agosto, giorno in cui fu rintracciato dalle S.S tedesche nella canonica di S. Martino Villafranca ( Forlì ), mentre queste attendevano ad accurate ricerche di ufficiali e sottufficiali dell'arma dei CC.RR In prigione subì percosse e torture d'ogni genere, Il 5 settembre '44 fu fucilato nel campo d'aviazione di Forlì""",
Celli Aldo Di Agostino,"Nato a Faenza l'8 febbraio 1888, ivi residente, calzolaio, vedovo.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dall'8 settembre 1943 al 5 aprile 1944.,"Antifascista, considerato pericoloso per il regime, dal 1932 al 1943 fu tenuto al confino di polizia. Recuperò la libertà solo nel periodo ""badogliano"". Dopo l'8 settembre fu tra gli animatori della formazione armata del faentino che si costituì nell'alta Samoggia. Quando la formazione si divise rimase con Corbari e partecipò all'attività del gruppo nella zona di Modigliana, Marradi, Rocca San Casciano. Dal 4 gennaio partecipò all'occupazione di Tredozio conclusasi tragicamente il 20 gennaio 1944 con la cattura sua e di altri 19 partigiani a Ca Morelli. Il 5 aprile 1944, poco dopo le 15, assieme ad altri sei, dei venti condannati, venne prelevato dal carcere e fucilato.",
Cenci Silvio Di Giordano,"Nato a Rimini il 2 febbraio 1920, ivi residente, primo di cinque fratelli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 10 novembre 1943 al 10 maggio 1944.,"Componente di un gap formato da quattro persone si affiatò in modo particolare con Ivo Lotti col quale attuò azioni di disarmo di tedeschi e militi, taglio di linee telefoniche. Il 10 maggio 1944, in compagnia del Lotti, veniva fermato ad un posto di blocco, da due militi del battaglione ""Venezia Giulia"". Ne seguì un conflitto a fuoco durante il quale uccideva uno dei militi restando a sua volta ucciso.",
Ceroni Nino Di Ermenegildo,"Nato a Modigliana il 7 dicembre 1910, ivi residente, bracciante, coniugato e padre di un figlio.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 7 agosto al 15 novembre 1944.,"La scheda personale dell'anpi reca: ""deceduto il 15 novembre 1943 mentre portava ordini del comandante e trasportava casse di munizioni""",
Cervetti Secondo Di Mario,"Nato a Forlì il 7 dicembre 1907, ivi residente, operaio, primogenito con due sorelle, celibe.",Riconosciuto partigiano della 29 brigata gap con ciclo operativo dall'8 settembre 1943 al 29 agosto 1944.,"Arrestato il 2 agosto 1944 dall'ufficio politico investigativo della gnr, assieme a Ferdinando dell'Amore, Ivo Gamberoni, Giovanni Golfarelli ""per aver svolto, negli stabilimenti industriali della città, attività antinazionale e antifascista, di aver diffuso libelli sovversivi e di apparetenenza a una cellula comunista"". I fascisti lo sottoposero a violenze perché rivelasse l'organizzazione comunista nelle fabbriche forlivesi poi lo misero a disposizione dei tedeschi. In seguito ad un attentato contro un militare tedesco avvenuto alle 0,30 del 29 agosto in località San Pietro in Trento, venne prelevato assieme agli altri tre operai ed impiccato presso i prati della Minarla.",
Cherchi Gavino Fu Salvatore,"Nato a Nughedu il 15 novembre 1923, ivi residente, bracciante, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 11 gennaio al 16 aprile 1944.,"Caduto nel corso del Grande rastrellamento d'aprile. Dalla scheda personale dell'anpi si apprende: ""disperso dall'aprile 1944 e dopo un vario tempo è stato ritrovata la salma nei pressi del sacro Eremo di Camaldoli""",
Chesi Giuseppe Fu Mario.,"Nato a Kadolfell (Germania) il 18 marzo 1901, residente a Forlì, arrotino, coniugato e padre di due figlie.",Riconosciuto partigiano della 29 brigata gap con ciclo operativo dall'8 settembre 1943 al 20 settembre 1944.,"Antifascista, nel novembre del 1926 fu condannato a tre anni di confino (commutati in ammonizione) per aver sottoscritto a favore di Sacco e Vanzetti. Nell'aprile del 1931 fu inviato, quale delegato, al IV congresso del partito comunista italiano svoltosi a Colonia, dove prese la parola con lo pseudonimo di ""Simba"". Al rientro in Italia fu arrestato e nuovamente sottoposto ai vincoli dell'ammonizione. Il 9 ottobre 1932 fu nuovamente arrestato e il 4 gennaio 1933 condannato a due anni di confino. Dopo l'8 settembre 1943 partecipò alla formazione dei gap, catturato dai tedeschi il 20 settembre 1944 a Villagrappa di Forlì, da allora non si sono avute più sue notizie.",
Chesi Igino,"Nato a Pisco (Tn) il 21 luglio 1904, arrotino, residente a Rimini.",Partigiano della 29° brigata gap.,"Antifascista, nell'ottobre del 1932 venne arrestato e il 4 gennaio del 1933 condannato a due anni di confino a Longobucco (Cs) commutati in ammonizione il 21 marzo del 1933. Subì più volte le violenze dei fascisti. Fu ucciso il 24 agosto 1944, durante un conflitto a fuoco con i fascisti.",
Chiti Mario,"Firenze 1 dicembre 1907, operaio meccanico, domiciliato a Firenze, coniugato.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dall'11 gennaio al 23 giugno 1944.,"Antifascista, il 1 novembre 1940 il Tribunale Speciale lo condannò a otto anni di prigione per attività comunista negli stabilimenti di Rifredi. Liberato nel periodo ""badogliano"", dopo l'8 settembre, ricercato dai fascisti fiorentini, si portò a Portico e poi nelle nascenti formazioni partigiane. Nel marzo 1944 fu nominato commissario politico della 2° brigata. Dopo il rastrellamento di aprile, si riportò a Portico con l'intento di reclutare nuovi partigiani per farli operare nella zona. Il 23 giugno, un sergente maggiore della polizia fascista, fintosi partigiano, lo assassinava nel sonno a Vallicelle nel comune di Rocca San Casciano. Il contadino Domenico Pretolani che aveva loro dato ospitalità, fu inviato in campo di concentramento in Germania.",
Ciani Vittorio Di Domenico,"Nato a Faenza il 24 marzo 1926, ivi residente, bracciante, figlio unico, celibe.",Riconosciuto partigiano del Battaglione Corbari con ciclo operativo dal 1 gennaio al 26 gennaio 1944.,"Rifiutò la leva nella repubblica sociale e si portò alla formazione armata del faentino costituitasi nell'alta Samoggia. Partecipò all'attività del gruppo nella zona di Modigliana, Marradi, Rocca San Casciano e all'occupazione di Tredozio. 
La mattina del 20 gennaio 1944, la casa denominata Ca Morelli in comune di Tredozio, dove era alloggiato, con altri 22 partigiani di Corbari, venne accerchiata dai tedeschi e sottoposta ad intenso fuoco d'artiglieria. Assieme a Osvaldo Favelli e a Graziani Domenico, tentò una sortita dalla casa per uscire dall'accerchiamento rimanendo ucciso dalle raffiche di mitra. Gli altri 20 partigiani presenti nella casa, furono costretti ad arrendersi.",
Ciavatti Aristodemo Di Salvatore,"Nato a Rimini il 3 luglio del 1922, ivi residente, primo di sei figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 maggio al 3 settembre 1944.,"Arrestato assieme ad altri giovani in seguito al ferimento di un soldato tedesco, il 3 settembre 1944 fu fucilato dai tedeschi a Cerasolo di Rimini.",
Cicognani Antonio Di Vincenzo,"Nato a Forlì il 16 giugno 1913, coniugato e padre di due figlie.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 novembre 1943 al 27 agosto 1944.,"Arrestato il 10 agosto 1944, fucilato a Villa Rossetta in comune di Bagnacavallo, il 27 agosto 1944 unitamente a Ruffillo Balzani e Artemio Levi.",
Clementi Alfredo Fu Lazzaro.,"Nato a Rimini 1 aprile 1914, ivi residente, coltivatore, coniugato.",Riconosciuto partigiano della brigata sap con ciclo operativo dall'8 settmbre 1943 al 18 settembre 1944.,"Il 18 settembre 1944, venne fucilato da una pattuglia tedesca, a Viserba a Monte assieme ad Enrico Petrucci, perché aveva tratto in salvo e nascosto due aviatori inglesi gettatisi col paracadute dall'aereo in fiamme.",
Cola Primo Di Agostino,"Nato a Cesena il 15 gennaio 1909, ivi residente, muratore, coniugato e padre di due figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 27 aprile al 15 ottobre 1944.,Cadeva per lo scoppio di una granata sul fronte di Cesena il 15 ottobre 1944,
Colonaci Francesco Di Achille,"Nato a San Godenzo (Firenze) l'11 maggio 1914, residente a Tredozio, colono, coniugato e padre di un figlio.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 9 gennaio al 27 gennaio 1944.,"Ucciso il 27 gennaio 1944 in località Molinette, da un reparto tedesco in azione di rastrellamento, dopo l'azione del 20 gennaio contro Ca Morelli per ""ripulire completamente la zona"" di Tredozio dalla presenza dei partigiani. Nel conflitto a fuoco era stato gravemente ferito Nello Bandini. Nel podere Tramonto furono arrestati i genitori di Iris Versari.",
Comandini Maria Di Giuseppe,"Nata a Sarsina il 18 aprile 1905, casalinga, coniugata e madre di due figli.",Riconosciuta partigiana dell'8° brigata con ciclo operativo al 26 settembre 1944.,"Staffetta dell'8° brigata. Dall'atto di notorietà redatto presso il comune di Civitella il 27 aprile 1946 riportiamo: ""nel giorno 10 settembre 1944 veniva prelevata dalla sua abitazione da truppe tedesche per portarsela come guida. Ma venivano i tedeschi attaccati dai partigiani"" ""e in quel giorno stesso in Bucchio la fucilarono"".",
Conficconi Romeo Di Dionisio,"Nato a Galeata il 15 marzo 1923, residente a Cusercoli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 febbraio al 23 agosto 1944,"Catturato durante il rastrellamento d'agosto, il verbale di irreperibilità redatto in data 10 ottobre 1947 a Forlì dichiara ""arrestato dai tedeschi il 21 agosto 1944 a Cusercoli e da allora non si è saputo più nulla""",
Conficconi Silvano,"Nato a Meldola il 18 ottobre 1926, residente a Bussecchio, operaio.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 2 febbraio al 25 agosto 1944.,"La scheda personale all'anpi sulle cause della morte reca: ""in servizio di staffetta traversava la piazza Saffi il 25/8/1944, nello stesso momento del bombardamento colpito da una scheggia e morto sull'istante"".",
Convito Fernando Di Lodovico,"Nato a Città della Pieve (PG) il 20 ottobre 1921, secondo di sette fratelli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 23 febbraio al 12 maggio 1944.,"In servizio alla legione carabinieri di Forlì abbandonò il reparto e si arruolò nella brigata. Rifugiatosi nei pressi di Santa Sofia dopo lo sfaldamento dell'8° brigata a seguito del Grande rastrellamento d'aprile, fu catturato in seguito ad una delazione e il 12 maggio 1944, fucilato.",
Corbari Silvio Di Domenico,"Nato a Faenza il 10 gennaio 1923, ivi residente, sposato e padre di due figli.",Riconosciuto partigiano con ciclo operativo dal 11 novembre 1943 al 18 agosto 1944.,"Dopo l'8 settembre 1944 fu tra gli animatori del primo gruppo armato del faentino, che si costituì alle sorgenti del fiume Samoggia sin dal settembre 1943. Gruppo che nell'ottobre 1943 assaltò e disarmò le caserme della vallata del Montone seminando il panico tra i fascisti. Dopo l'occupazione di Tredozio, conclusasi tragicamente con la cattura di gran parte della formazione a Ca Morelli. L'uccisione del colonnello Marabini eseguita con un'abile stratagemma nel maggio 1944, lo rese famoso in tutta la Romagna, e gli vennero attribuite azioni tali da renderlo un moderno ""passatore"" irridente della tracotanza e della forza di tedeschi e fascisti. Complice la caduta di radio Zella e la delazione di un giovane appartenuto alla formazione, i tedeschi e i fascisti riuscirono a catturalo la mattina del 18 agosto 1944 a Ca Cornio. Gravemente ferito fu portato a Castrocaro e impiccato assieme a Adriano Casadei. Nel pomeriggio fu portato a Forlì e nuovamente impiccato perché la popolazione constatasse che ""la primula rossa"" della resistenza forlivese era stata catturata.",
Corti Enzo Fu Gino,"Nato a Vaglia il 13 agosto 1925, terzo di cinque fratelli.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dall'11 gennaio al 30 aprile 1944.,"Catturato a Ca Morelli di Tredozio, la mattina del 20 gennaio 1944, unitamente ad altri 19 partigiani della formazione Corbari, fu tradotto al Comando delle S.S. di Castrocaro e poi nel carcere di Bologna quindi a Castelfranco Emilia. Condannato a morte, il 5 aprile 1944, venne fucilato a Verona.",
Corzani Antonio Di Serafino,"Nato a Bagno di Romagna il 15 febbraio 1917, ivi residente, calzolaio, figlio unico.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dall'11 ottobre 1943 al 16 maggio 1944.,"Subito dopo l'8 settembre 1943 lasciò Forlì dove era militare e ritornò a San Piero in Bagno. Fu tra i primi ad aderire alla nascente formazione partigiana. Nel marzo 1944 divenne comandante della 2° brigata. Nei documenti fascisti viene indicato come autorevole comandante partigiano, e doveva essere da loro particolarmente temuto perché, il 12 maggio 1944, quando lo catturarono grazie ad una delazione, lo seviziarono e lo uccisero con un colpo alla testa e 14 pugnalate. Dopo la sua morte il 1° distaccamento del IV battaglione venne a lui intestato.",Decorato di medaglia d'argento al VM.
Cristofani Gino Di Gaspare,"Nato a Galeata il 17 luglio 1904, ivi residente, coniugato e padre di tre figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 7 luglio al 19 ottobre 1944.,"Componente del cln di Galeata, il 19 ottobre mentre guidava una pattuglia polacca assieme a Tommaso Buscherini rimaneva ucciso nel corso dei combattimenti sul monte Cento Forche.",
D'Aniello Guido Fu Francesco,"Nato a Leciniano (NA) l'8 agoso 1919, residente a Casalnuovo,",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 12 febbraio al 14 settembre 1944.,"Trasferitosi a Rimini per ragioni di lavoro si arruolò nelle gap locali, ""durante una azione contro i nazi-fascisti veniva catturato dagli stessi e da allora non si è saputo più nulla"".",
Dal Fiume Alberto Fu Adamo,"Nato a Lugo il 17 gennaio 1918, ivi residente.",Riconosciuto partigiano dell'8° brigata con ciclo oprativo dal 3 aprile al 20 ottobre 1944.,"Partigiano del 3° distaccamento del 1° battaglione, il 17 ottobre 1944 venne aggregato con l'intero distaccamento al 14° battaglione polacco e partecipò alla conquista di monte Aiola, poi di Sambucheto, dove, il 20 ottobre, fu mortalmente colpito da una granata tedesca.",
Degli Esposti Dino Di Primo,"Nato a Forlì il 15 febbraio 1922, colono, fratello di Tonino",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 22 febbraio al 24 marzo 1944.,"Arrestato perché renitente di leva, ad ammonimento per i giovani che nella quasi totalità avevano rifiutato l'arruolamento nell'esercito della ""repubblica sociale"", venerdì 24 marzo, assieme al fratello Tonino, Agostino Lotti, Massimo Fantini, Giovanni Valgiusti venne processato, condannato a morte e fucilato nella caserma Ferdinando di Savoia di Forlì.",
Degli Esposti Tonino Di Primo,"Nato a Forlì il 23 agosto 1924, colono, fratello di Dino.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 22 febbraio al 24 marzo 1944.,"Arrestato perché renitente di leva, ad ammonimento per i giovani che nella quasi totalità avevano rifiutato l'arruolamento nell'esercito della ""repubblica sociale"", venerdì 24 marzo, assieme al fratello Dino, Agostino Lotti, Massimo Fantini, Giovanni Valgiusti venne processato, condannato a morte e fucilato nella caserma Ferdinando di Savoia di Forlì.",
Dell'Amore Ferdinando Di Guglielmo,"Nato a Forlì il 31 maggio 1906, operaio, coniugato, padre di due figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dall'8 settembre 1943 al 29 agosto 1944.,"Operaio della Mangelli, aderì all'organizzazione clandestina comunista di fabbrica. Dopo l'8 settembre si adoperò a sostegno delle nascenti formazioni armate raccogliendo armi, fondi e indumenti. Fu tra gli organizzatori dei numerosi ed importanti scioperi operai che ebbero grande importanza politica e salvarono la vita a numerosi ostaggi e renitenti di leva. Arrestato il 2 agosto 1944 dall'ufficio politico investigativo della gnr, assieme a Secondo Cervetti, Ivo Gamberini e Giovanni Golfarelli, il 29 agosto venne con loro impiccato nei prati della Minarla.",
Domeniconi Terzo Fu Sebastiano,"Nato a Cesena il 26 novembre 1923, garzone edile, secondo di sei figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dall'8 marzo al 9 aprile 1944.,"Ferito, fu prelevato dai tedeschi dall'infermeria delle Capanne, consegnato alle SS italiane, fucilato a Ponte Messa il 7 aprile 1944",
Dugheria Maria Fu Antonio,"Nata a Bertinoro il 10 maggio 1918, residente a Cesena, coniugata.",Riconosciuta partigiana della 29° brigat gap con ciclo operativo dal 1 gennaio al 10 ottobre 1944,"Staffetta, il 10 ottobre 1944 ""mentre si accingeva a portare ordini al comandante di distaccamento, venne colpita da scoppio di granata perdendo la vita"".",
Ermeti Giuseppe Di Federico,"Nato a Rimini il 1 gennaio 1924, ivi residente, elettricista, figlio unico, celibe.",Riconosciuto partigiano della brigata sap con ciclo operativo dal dicembre 1943 al 22 settembre 1944.,"Sfollato a Viserba si organizzò nel 3° distaccamento del 3° battaglione della brigata sap. Cadde in Viserba il 22 settembre 1944 ""per ragioni di servizio, colpito da scheggia di granata, mentre, per ordini ricevuti, tentava di raggiungere gli avamposti alleati"".",
Evangelisti Arnaldo Di Gaetao,"Nato a Cervia il 6 gennaio 1922, ivi residente, coniugato.",Riconosciuto partigiano dell'8° con ciclo operativo dal 27 febbraio al 16 aprile 1944.,"Il 12 settembre 1943 entrò a far parte delle squadre di difesa del ravennate e partecipò con Boldrini e Fusconi alla prima azione armata del ravennate: la beffa del Savio.
Il 28 febbraio raggiunse l'8° brigata. Vice comandante e poi comandante della compagnia armi pesanti. Durante il Grande rastrellamento d'aprile partecipò al combattimento del Passo della Calla proteggendo il passaggio dei partigiani, nel successivo combattimento sul monte Falterona dove cadde raggiunto da una raffica di mitra.",
Fabbri Alteo Di Romeo,"Nato a Bertinoro il 20 dicembre 1925, ivi residente, operaio, secondo di quattro figli, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 2 maggio al 12 ottobre 1944.,"Capo terziglia del distaccamento di Guascone, l'11 ottobre 1944 provocava lo sparo del proprio mauser che gli produceva ferite alla spalla e alla trachea e la morte immediata.",
Fabbri Carlo Di Andrea,"Nato a Santa Sofia il 23 marzo 1922, residente a Civitella di Romagna, colono, secondo di tre figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 14 marzo al 30 aprile 1944.,"Ucciso nell'infermeria delle Capanne durante la prima fase del grande rastrellamento dell'aprile 1944. L'atto di notorietà redatto il 20 marzo 1948 nel comune di Civitella, dichiara che ""ad opera di appartenenti alla milizia V.S.N., in Comune di Verghereto, il giorno 6 aprile 1944 è stato fucilato per rappresaglia"".",
Fabbri Antonio anzi Enrico Di Salvatore,"Nato a Montiano l'8 gennaio 1927, residente a Cesena, terzo di tre figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 9 febbraio al 17 aprile 1944.,Durante il Grande rastrellamento d'aprile il 17 aprile 1944 veniva catturato nella valle dell'Oia (Falterona). Portato al cimitero di Stia venne fucilato assieme ad altri 16 partigiani.,
Fabbri Giuliano,"Nato a Civitella di Romagna il 9 settembre 1926, residente a Galeata, primo di due figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 2 maggio al 27 settembre 1944.,"Staffetta dell'8° brigata, alle ore 7 del 29 settembre 1944 a Collina di Pondo veniva ""Fucilato per rappresaglia perché trovato in possesso di bombe e perché sospetto partigiano"".",
Fabbri Italo Di Nazzareno,"Nato a Rimini il 14 febbraio 1920, residente a Sant'Arcangelo, muratore, primo di due figli, celibe.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 15 aprile al 25 luglio 1944.,"In una lettera dell'anpi di Rimini a quella di Forlì si dichiara che il Comune di quella città non era in grado di rilasciare certificato di morte ""in quanto il Fabbri fu preso dai tedeschi nel mese di luglio 44 e secondo il personale di guardia delle SS di Forlì in data 30 luglio 44 fu portato in aperta campagna Forlivese e fucilato"" il padre in una lettera all'anpi di Forlì scrive ""allego una dichiarazione rilasciata dall'ufficio leva (che nel fascicolo non c'è) la quale dichiarò la sicura morte di mio figlio Italo mediante fucilazione e sepolto in posto ignoto nei pressi di Forlì tramite una dichiarazione di un teste oculare inviata a suo tempo al distretto militare di Forlì"".",
Fabbri Renato Di Carlo,"Nato a Forlì il 4 ottobre 1921, residente a Forlimpopoli frazione di S. Andrea, colono, quinto di cinque figli, celibe.",Riconosciuto partigiano della brigata Sap con ciclo operativo dal 1 giugno al 21 ottobre 1944.,"Con Battista Bertaccini, Antonio Greggi, Rino e Adriana Ragazzini (padre e figlia) componeva la squadra sap della frazione Sant'Andrea di Forlimpopoli che operò per lo smistamento di armi e stampa alle brigate gap e 8° e con azioni di disarmo di militi e attentati a strutture logistiche tedesche. Il 21 ottobre 1944, un aereo alleato bombardava l'abitazione del Bertaccini, dove l'intera squadra era riunita, distruggendo l'abitazione e uccidendo tutti gli occupanti.",
Fabbri Sante Di Giulio,"Nato a Santa Sofia il 16 febbraio 1922, ivi residente, scalpellino, primo di due figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 30 ottobre 1943 al 3 novembre 1944.,"Nome di battaglia Maciste. Comandante del 1° distaccamento del 3° battaglione.
Morì il 3 novembre 1944 nel corso di un'azione di sminamento alla Casetta (Collina di Pondo).",
Fabbri Vittorio Di Salvatore,"Nato a Montiano il 7 maggio 1923, residente a Cesena, secondo di quattro figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 9 marzo al 3 aprile 1944.,"Caduto nella zona delle Capanne. L'atto di notorietà sulle cause di morte, redatto il 5 aprile 1948 presso la pretura di Cesena, dichiara che la sua morte avvenne ""in seguito a fucilazione da parte di tedeschi il giorno 3 aprile 1944 in Calanco di Verghereto"". La data va posticipata di almeto quattro giorni.",
Facibeni Lorenzo Fu Domenico,"Nato a Civitella di Romagna l'8 marzo 1912, residente a Cusercoli, colono, coniugato e padre di due figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 gennaio al 30 novembre 1944.,"Catturato nel corso del rastrellamento d'agosto. Il 7 ottobre 1944 veniva emesso il verbale di irreperibilità: ""fu catturato dai nazi-fascisti il 20.8.44 in località Cusercoli e da allora non si è saputo nulla e non è stato possibile identificare la salma"".",
